_unit_id;_canary;_unit_state;_trusted_judgments;_last_judgment_at;what_emotion_does_the_author_express_specifically_about_the_weather;what_emotion_does_the_author_express_specifically_about_the_weather:confidence;gold_answer;tweet_id;tweet_text
314960496;;finalized;20;8/24/13 0:49;Negative;0.7135;;83258590;Out walking enjoying the sunshine...NOT!
314960497;;finalized;20;8/24/13 1:12;Tweet not related to weather condition;0.5437;;80059221; Hi Five! I love Snow Patrol, so this is right up my street. I have it on repeat! 
314960498;;finalized;20;8/24/13 0:48;Tweet not related to weather condition;0.4887;;82516547;-_- To them doin these twitter bio's for the people gettin they doctorate degrees. Im tryna leave today sir
314960499;;finalized;20;8/24/13 0:20;Negative;0.3852;;81173459;Even when the rain falls, even when the flood stops rising, even when the storm comes, I am washed by the water.
314960500;;finalized;20;8/24/13 0:34;Negative;0.493;;84031506; I think those American nutters must have misinterpreted a bad weather forecast #rapture
314960501;;finalized;20;8/24/13 0:17;Tweet not related to weather condition;0.6136;;80055852; Keek! I love a bit of Snow Patrol! Have this band on now tho.  It's been on repeat since I heard it.  
314960502;;finalized;20;8/24/13 0:48;Negative;0.5092;;82853149;Memphis weather is so bipolar!!!
314960503;;finalized;20;8/24/13 0:42;Negative;0.8389;;82845272; you are welcome! doing great-except sooo tired of this weather! how about you!?
314960504;;finalized;20;8/24/13 0:52;Positive;0.7726;;84034023;so sunny and beautiful in Tulsa right now. I decided to spend sometime outside the office and work on my tan.   :)
314960505;;finalized;20;8/24/13 0:39;Positive;0.4389;;80052225;Morning sunshine.
314960506;;finalized;20;8/24/13 0:31;Neutral / author is just sharing information;0.3256;;84050878; It'll be sunny again by time you land  Every time I think about going back to Portland it starts ra ...
314960507;;finalized;20;8/24/13 0:33;Negative;0.371;;84304127;it's 80 degrees for what?
314960508;;finalized;20;8/24/13 0:34;Neutral / author is just sharing information;0.3604;;82513626; why didn't Brian say anythng on the weather segment?
314960509;;finalized;20;8/24/13 0:32;Tweet not related to weather condition;0.5755;;83270648;Now Playing on BaltimoreNetRadio: EDDIE RABBIT - I Love A Rainy Night
314960510;;finalized;20;8/24/13 0:42;Tweet not related to weather condition;0.465;;84320961;Lance Berkman with a snow cone diving catch, yeah it happened
314960511;;finalized;20;8/24/13 0:45;Neutral / author is just sharing information;0.3077;;82675630; According to the weather on  's phone, every day is going to be a muffin.  
314960512;;finalized;20;8/24/13 0:29;Negative;0.4478;;82679887; Miami weather is just like Charlie Sheen.. Bi-polar!
314960513;;finalized;20;8/24/13 0:11;Positive;0.4072;;79193752;Poured a cup of hot sepia coffee in a wisteria flowered mug, dandelion sunshine spilling through the periwinkle sky.
314960514;;finalized;20;8/24/13 0:20;Negative;0.8231;;84049530;Freezing my butt off. (@ Long Sands Beach) 
314960515;;finalized;20;8/24/13 0:39;Positive;0.8162;;80055712;Wonderfully sunny day at Edmond's Art festival  #thelandofperfect
314960516;;finalized;20;8/24/13 0:50;Positive;0.9636;;82680423;Waking up to beautiful weather- what a great day it will be!
314960517;;finalized;20;8/24/13 0:23;Positive;0.8842;;82682106;Helloooo, Sunshine!
314960518;;finalized;20;8/24/13 0:29;Negative;0.664;;84034752;My room is freezing :/ or im jus too cold :S
314960519;;finalized;20;8/24/13 0:46;Tweet not related to weather condition;0.6474;;84308499; yeah at times it's so hard to tell who's in the lifestyle, but then when you find out it's like duh should have known. she hot?
314960520;;finalized;20;8/24/13 0:41;Neutral / author is just sharing information;0.7155;;82845290;Heavy Dust Storm Blankets Parts Of Chandler: A good sized dust storm blew through the east valley blanketing par... 
314960521;;finalized;20;8/24/13 0:33;Neutral / author is just sharing information;0.9302;;82675851;#WEATHER:  1:53 am : 61.0F. Feels 58F. 29.75% Humidity. 18.4MPH West Wind.
314960522;;finalized;20;8/24/13 0:31;Neutral / author is just sharing information;0.473;;84031114;#C4IforHumanity: Extreme Weather - North-America - USA 
314960523;;finalized;20;8/24/13 0:43;Tweet not related to weather condition;0.442;;82513136;Bear River's Quest for a 4-Peat Begins Saturday  - #snow #utah
314960524;;finalized;20;8/24/13 0:19;Negative;0.4098;;81177034; I am too haha it's kinda hot out though
314960525;;finalized;20;8/24/13 0:55;Neutral / author is just sharing information;0.5413;;83257052;If a storm picks up, lean into the wind instead of turning away from it if you want to keep balance
314960526;;finalized;20;8/24/13 0:34;Neutral / author is just sharing information;0.626;;82517602;Stay safe all!  New event. Severe Thunderstorm Watch from to 11:00 PM EDT for  
314960527;;finalized;20;8/24/13 0:38;Tweet not related to weather condition;0.7447;;83259127;pretty much addicted to Storm Warning right now...amazing song :)
314960528;;finalized;20;8/24/13 0:36;Positive;0.5182;;83257131; just cause there's a #shitstorm at Colby, you make my sunshine! Love you
314960529;;finalized;20;8/24/13 0:36;Positive;0.3049;;84308252;Love my new jewelry books from Powell's. Much needed inspiration on a rainy Monday.
314960530;;finalized;20;8/24/13 0:45;Positive;0.831;;84307329;Had a great weekend thanks to the sunny weather. Now I have to sit inside for 8 hours at work. Boo!
314960531;;finalized;20;8/24/13 0:23;Tweet not related to weather condition;0.3844;;82853071;Jeff Will Miss Oprah & Gives Her A Shout Out The Only Way A Weatherman  Could!!! 7day Forecast. #Oprah |  via 
314960532;;finalized;20;8/24/13 0:48;Tweet not related to weather condition;0.6827;;81994737; hahaha...tell Slush we are gonna win it next year!
314960533;;finalized;20;8/24/13 0:24;Positive;0.7994;;81991018;"In the 'BU (Malibu) showing leases. The weather is perfect! Click 4 pic&gt; "
314960534;;finalized;20;8/24/13 0:33;Tweet not related to weather condition;0.4601;;84032046; haha ASU has an amazing honors program, that's the only reason I want to go there. And i can't stand snow Dx
314960535;;finalized;20;8/24/13 0:24;Tweet not related to weather condition;0.5672;;83258944;Free Blizzard!! 
314960536;;finalized;20;8/24/13 0:55;Negative;0.4378;;80056720;Just a heads up to everyone, weather is crazy everywhere, not just where u live. I thought I needed to clear that up.
314960537;;finalized;20;8/24/13 0:39;Neutral / author is just sharing information;0.854;;79186665;"Weather data at 06:30 AM. 42.5&#xB0;F, 92&#x25; humidity. Wind: 0.0 mph from the N. Rain: 0.00 in. NO CURRENT ADVISORIES"
314960538;;finalized;20;8/24/13 0:04;Negative;0.6768;;82677133;Im not complaining but it's FREEZING in my room!
314960539;;finalized;20;8/24/13 0:35;Negative;0.9155;;84319756;hot weather puts me in a bad mood .
314960540;;finalized;20;8/24/13 0:43;Positive;0.4151;;82837899;hope this night is rainy night ^^
314960541;;finalized;20;8/24/13 0:45;Neutral / author is just sharing information;0.5046;;84305046;Northern IN likely to go under a weather watch per SPC soon...details to come.
314960542;;finalized;20;8/24/13 0:29;Tweet not related to weather condition;0.7417;;80058399; How about Metal Storm & Wasp Knife for MW3???   #AwesomeWeapons #MW3
314960543;;finalized;20;8/24/13 0:54;Negative;0.6974;;81177456; unfortunately the same here (Sunny skies).  really need some rain.Too much sun can be as depressing as too much rain. #pubwrite
314960544;;finalized;20;8/24/13 0:09;Neutral / author is just sharing information;0.3367;;82510199; Don't try to stop the storm,just wait with patience and faith until the storm pass away and the rainbow come to bright your  ...
314960545;;finalized;20;8/24/13 0:13;Negative;0.7462;;81178513;I'm freezing on this stupid bus
314960546;;finalized;20;8/24/13 0:36;Negative;0.3686;;81170576; unfortunately this wife doesn't come with a log of firewood for those chilly nights.
314960547;;finalized;20;8/24/13 0:33;Tweet not related to weather condition;0.6447;;82845610; I'm not related to him, but I know him from storm spotting for my county.
314960548;;finalized;20;8/24/13 0:32;Neutral / author is just sharing information;0.9335;;82845186;" Tatum, NM @ 8:00 PM: Temp:75F(H 84/L 45), Hum:30&#x25;, DewPt:42F, Wind: SE at 17 G 27.0 mph, Rain:0.00 In. #weather"
314960549;;finalized;20;8/24/13 0:06;Tweet not related to weather condition;0.823;;82839379; Cinderella, Snow White, and Sleeping Beauty are all gonna be pretty ticked when they find out they all married Prin ...
314960550;;finalized;20;8/24/13 0:44;Negative;0.721;;82846618;Freezing. Cuddling...alone :(
314960551;;finalized;20;8/24/13 0:46;Neutral / author is just sharing information;0.7753;;81176534;#WEATHER: 4:53 pm C: 84.0F. Feels F. 29.87% Humidity. 9.2MPH South Wind.
314960552;;finalized;20;8/24/13 0:55;Negative;0.8203;;82510416;Omg storm and hail please go away so I can catch my flight home!! #ihatestorms
314960553;;finalized;20;8/24/13 0:31;Tweet not related to weather condition;0.7667;;84304530;Militants storm Pakistani naval base in Karachi \n    (AP)\n: AP - Islamist militants stormed a naval base in t... 
314960554;;finalized;20;8/24/13 0:16;Tweet not related to weather condition;0.7255;;82841690;watching 180 degrees south again. I can't get enough of this movie.
314960555;;finalized;20;8/24/13 0:30;Neutral / author is just sharing information;0.4896;;82837138; Hot day in Moab today, went to Arches National Park but wife and kids petered out after a 2mi hike. Definitely have to come  ...
314960556;;finalized;20;8/24/13 0:38;Tweet not related to weather condition;0.7818;;79187143;Slush explosion date with steph #bonding
314960557;;finalized;20;8/24/13 0:47;Neutral / author is just sharing information;0.6697;;84304558;Severe Storm Damage In Southeast Wisconsin: At the height of Sunday's severe storms, thousands lost power in... 
314960558;;finalized;20;8/24/13 0:21;Neutral / author is just sharing information;0.6806;;84033936;#NMFire #NMwx Fire Weather Watch issued May 21 at 1:28PM MDT expiring May 23 at 9:00PM MDT by NWS Albuquerque... 
314960559;;finalized;20;8/24/13 0:49;Negative;0.7236;;82844934;I hate this bi-polar weather in san Antonio
314960560;;finalized;20;8/24/13 0:45;Negative;0.4462;;81994657; shhhh, just cum to the philippines where it's sunny and shitty everyday
314960561;;finalized;20;8/24/13 1:12;Positive;0.2869;;80050271; Here's hoping. :)  How's the weather there?  Did any of those toofans hit you a couple weeks back?
314960562;;finalized;20;8/24/13 0:34;Neutral / author is just sharing information;0.8527;;82517414;Severe Thunderstorm Warning for Choctaw, Montgomery, and Webster County in MS until 7:45pm.  #mswx
314960563;;finalized;20;8/24/13 0:48;Negative;0.4024;;79193917;Polo boots in 80 degree weather #fail
314960564;;finalized;20;8/24/13 0:41;Negative;0.4361;;81995828;the weather didnt scare me away from the stores tonight!
314960565;;finalized;20;8/24/13 0:21;Negative;0.73;;84318238;Dear #sanfrancisco, this weather blows. Rain? In may? Um no thank you. Please, get it together. Thanks
314960566;;finalized;20;8/24/13 0:33;Negative;0.6145;;84311234; Damn this thunder storm kame out of No where
314960567;;finalized;20;8/24/13 0:29;Positive;0.8701;;84305899; it won't last too long...the storm that is.. :) nice & sunny in my neck of the woods..
314960568;;finalized;20;8/24/13 0:12;Negative;0.7139;;81170244;Is Hot As Hell Outside Today In Da City Of #Decatur
314960569;;finalized;20;8/24/13 0:50;Neutral / author is just sharing information;0.4315;;79188848; you will be missed. Hope weather is ok
314960570;;finalized;20;8/24/13 0:37;Positive;0.4788;;81995587;Just in! Joe's Provacateur petite bootcut in the Hannah wash. Perfect for warmer weather! 
314960571;;finalized;20;8/24/13 1:11;Neutral / author is just sharing information;0.4811;;80053583;For storm and flood water repair, call NextGen Restoration experts. 
